[2025-12-08 09:23:12] -- INFO -- New Game Set
[2025-12-08 09:23:13] -- INFO -- New Game Started
[2025-12-08 09:23:26] -- ADMIN ACCESS -- Admin access set to True
[2025-12-08 09:23:33] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:33] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:35] -- ADMIN ACCESS -- Master panel activated
[2025-12-08 09:23:38] -- ADMIN ACCESS -- Refilled all creatures
[2025-12-08 09:23:40] -- ADMIN ACCESS -- Reset creature list
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:41] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:42] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:43] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:44] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:45] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:46] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:47] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:48] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:49] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:50] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:51] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:52] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:53] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:54] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:23:55] -- ADMIN ACCESS -- Refilled all creatures
[2025-12-08 09:23:56] -- ADMIN ACCESS -- Reset creature list
[2025-12-08 09:23:57] -- ADMIN ACCESS -- Admin toggle set to False
[2025-12-08 09:23:58] -- ADMIN ACCESS -- Admin access set to False
[2025-12-08 09:24:00] -- ADMIN ACCESS -- Admin access set to True
[2025-12-08 09:24:04] -- ADMIN ACCESS -- Spawned creature
[2025-12-08 09:24:04] -- ADMIN ACCESS -- Spawned creature
